,condition,environment,bootstraps
377,small,ashtray,4.6
378,small,ashtray,8.666666666666666
379,small,ashtray,3.0
380,small,ashtray,5.0
381,small,ashtray,3.0
382,small,ashtray,5.0
383,small,ashtray,6.6
384,small,ashtray,3.6
385,small,ashtray,3.0
386,small,ashtray,6.5
387,small,ashtray,4.285714285714286
388,small,ashtray,9.4
389,small,ashtray,6.5
390,small,ashtray,2.6666666666666665
391,small,ashtray,2.6666666666666665
392,small,ashtray,4.428571428571429
393,small,ashtray,2.6666666666666665
394,small,ashtray,2.6666666666666665
395,small,ashtray,3.8
396,small,ashtray,2.6666666666666665
397,small,ashtray,6.142857142857143
398,small,ashtray,6.4
399,small,ashtray,6.25
400,small,ashtray,4.428571428571429
401,small,ashtray,6.8
402,small,ashtray,4.8
403,small,ashtray,2.6666666666666665
404,small,ashtray,9.4
405,small,ashtray,2.6666666666666665
406,small,ashtray,2.6666666666666665
407,small,ashtray,7.333333333333333
408,small,ashtray,6.428571428571429
409,small,ashtray,2.6666666666666665
410,small,ashtray,3.0
411,small,ashtray,7.666666666666667
412,small,ashtray,3.0
413,small,ashtray,4.6
414,small,ashtray,7.0
415,small,ashtray,2.3333333333333335
416,small,ashtray,2.3333333333333335
417,small,ashtray,2.3333333333333335
418,small,ashtray,5.0
419,small,ashtray,6.444444444444445
420,small,ashtray,5.2
421,small,ashtray,4.5
422,small,ashtray,7.666666666666667
423,small,ashtray,4.166666666666667
424,small,ashtray,3.6
425,small,ashtray,3.3333333333333335
426,small,ashtray,4.5
427,small,ashtray,2.6666666666666665
428,small,ashtray,7.571428571428571
429,small,ashtray,5.2
430,small,ashtray,2.6666666666666665
431,small,ashtray,4.166666666666667
432,small,ashtray,3.0
433,small,ashtray,2.3333333333333335
434,small,ashtray,4.6
435,small,ashtray,2.6666666666666665
436,small,ashtray,2.6666666666666665
437,small,ashtray,4.6
438,small,ashtray,2.6666666666666665
439,small,ashtray,5.2
440,small,ashtray,5.6
441,small,ashtray,3.0
442,small,ashtray,6.5
443,small,ashtray,6.5
444,small,ashtray,7.714285714285714
445,small,ashtray,4.75
446,small,ashtray,2.6666666666666665
447,small,ashtray,3.6666666666666665
448,small,ashtray,2.6666666666666665
449,small,ashtray,6.6
450,small,ashtray,2.0
451,small,ashtray,5.8
452,small,ashtray,3.2
453,small,ashtray,5.0
454,small,ashtray,2.3333333333333335
455,small,ashtray,3.0
456,small,ashtray,4.6
457,small,ashtray,5.8
458,small,ashtray,4.0
459,small,ashtray,6.4
460,small,ashtray,2.3333333333333335
461,small,ashtray,2.3333333333333335
462,small,ashtray,3.3333333333333335
463,small,ashtray,3.25
464,small,ashtray,3.0
465,small,ashtray,5.6
466,small,ashtray,2.6666666666666665
467,small,ashtray,6.166666666666667
468,small,ashtray,5.714285714285714
469,small,ashtray,2.3333333333333335
470,small,ashtray,6.8
471,small,ashtray,5.714285714285714
472,small,ashtray,7.2
473,small,ashtray,5.0
474,small,ashtray,4.0
475,small,ashtray,4.6
476,small,ashtray,3.0
477,small,ashtray,2.0
478,small,ashtray,2.5
479,small,ashtray,3.2
480,small,ashtray,6.8
481,small,ashtray,5.0
482,small,ashtray,7.0
483,small,ashtray,3.8
484,small,ashtray,2.6666666666666665
485,small,ashtray,3.0
486,small,ashtray,7.25
487,small,ashtray,4.285714285714286
488,small,ashtray,2.6666666666666665
489,small,ashtray,5.333333333333333
490,small,ashtray,7.714285714285714
491,small,ashtray,4.6
492,small,ashtray,7.0
493,small,ashtray,5.2
494,small,ashtray,3.0
495,small,ashtray,5.8
496,small,ashtray,4.8
497,small,ashtray,5.0
498,small,ashtray,6.2
499,small,ashtray,6.8
500,small,ashtray,3.0
501,small,ashtray,5.5
502,small,ashtray,2.3333333333333335
503,small,ashtray,5.0
504,small,ashtray,5.2
505,small,ashtray,2.6666666666666665
506,small,ashtray,5.0
507,small,ashtray,2.6666666666666665
508,small,ashtray,3.3333333333333335
509,small,ashtray,5.2
510,small,ashtray,5.0
511,small,ashtray,4.4
512,small,ashtray,2.6666666666666665
513,small,ashtray,2.3333333333333335
514,small,ashtray,3.2
515,small,ashtray,9.777777777777779
516,small,ashtray,4.571428571428571
517,small,ashtray,2.5
518,small,ashtray,5.0
519,small,ashtray,2.6666666666666665
520,small,ashtray,5.5
521,small,ashtray,2.6666666666666665
522,small,ashtray,3.2
523,small,ashtray,7.0
524,small,ashtray,3.6
525,small,ashtray,6.6
526,small,ashtray,5.0
527,small,ashtray,6.4
528,small,ashtray,2.0
529,small,ashtray,2.6666666666666665
530,small,ashtray,5.2
531,small,ashtray,2.3333333333333335
532,small,ashtray,7.285714285714286
533,small,ashtray,3.0
534,small,ashtray,5.2
535,small,ashtray,4.4
536,small,ashtray,2.6666666666666665
537,small,ashtray,3.3333333333333335
538,small,ashtray,4.333333333333333
539,small,ashtray,4.6
540,small,ashtray,4.8
541,small,ashtray,5.833333333333333
542,small,ashtray,5.0
543,small,ashtray,2.6666666666666665
544,small,ashtray,7.2
545,small,ashtray,4.6
546,small,ashtray,5.0
547,small,ashtray,4.6
548,small,ashtray,5.4
549,small,ashtray,6.8
550,small,ashtray,5.714285714285714
551,small,ashtray,2.6666666666666665
552,small,ashtray,3.0
553,small,ashtray,2.6666666666666665
554,small,ashtray,4.285714285714286
555,small,ashtray,2.75
556,small,ashtray,2.3333333333333335
557,small,ashtray,5.0
558,small,ashtray,6.333333333333333
559,small,ashtray,2.3333333333333335
560,small,ashtray,6.3
561,small,ashtray,4.166666666666667
562,small,ashtray,2.6666666666666665
563,small,ashtray,4.428571428571429
564,small,ashtray,2.6666666666666665
565,small,ashtray,4.2
566,small,ashtray,2.6666666666666665
567,small,ashtray,6.666666666666667
568,small,ashtray,2.6666666666666665
569,small,ashtray,3.5
570,small,ashtray,6.4
571,small,ashtray,7.714285714285714
572,small,ashtray,2.6666666666666665
573,small,ashtray,5.333333333333333
574,small,ashtray,2.3333333333333335
575,small,ashtray,4.8
576,small,ashtray,2.6666666666666665
577,small,ashtray,4.714285714285714
578,small,ashtray,2.6666666666666665
579,small,ashtray,1.0
580,small,ashtray,3.0
581,small,ashtray,3.0
582,small,ashtray,2.3333333333333335
583,small,ashtray,6.857142857142857
584,small,ashtray,3.0
585,small,ashtray,5.0
586,small,ashtray,3.6
587,small,ashtray,2.5
588,small,ashtray,5.571428571428571
589,small,ashtray,3.8
590,small,ashtray,5.0
591,small,ashtray,5.714285714285714
592,small,ashtray,6.571428571428571
593,small,ashtray,3.0
594,small,ashtray,2.6666666666666665
595,small,ashtray,2.0
596,small,ashtray,2.6666666666666665
597,small,ashtray,2.6666666666666665
598,small,ashtray,2.75
599,small,ashtray,11.0
600,small,ashtray,2.0
601,small,ashtray,7.142857142857143
602,small,ashtray,3.0
603,small,ashtray,5.0
604,small,ashtray,5.0
605,small,ashtray,6.6
606,small,ashtray,4.0
607,small,ashtray,3.0
608,small,ashtray,2.6666666666666665
609,small,ashtray,2.6666666666666665
610,small,ashtray,2.6666666666666665
611,small,ashtray,3.6
612,small,ashtray,5.2
613,small,ashtray,3.6666666666666665
614,small,ashtray,6.444444444444445
615,small,ashtray,4.714285714285714
616,small,ashtray,3.5
617,small,ashtray,2.3333333333333335
618,small,ashtray,5.0
619,small,ashtray,3.0
620,small,ashtray,2.3333333333333335
621,small,ashtray,4.8
622,small,ashtray,3.0
623,small,ashtray,6.4
624,small,ashtray,2.3333333333333335
625,small,ashtray,2.6666666666666665
626,small,ashtray,3.0
627,small,ashtray,2.6666666666666665
628,small,ashtray,4.6
629,small,ashtray,4.714285714285714
630,small,ashtray,3.0
631,small,ashtray,2.3333333333333335
632,small,ashtray,2.6666666666666665
633,small,ashtray,6.2
634,small,ashtray,5.2
635,small,ashtray,7.2
636,small,ashtray,2.3333333333333335
637,small,ashtray,8.6
638,small,ashtray,6.142857142857143
639,small,ashtray,3.2
640,small,ashtray,7.0
641,small,ashtray,6.6
642,small,ashtray,4.857142857142857
643,small,ashtray,2.6666666666666665
644,small,ashtray,2.6666666666666665
645,small,ashtray,5.0
646,small,ashtray,4.571428571428571
647,small,ashtray,7.0
648,small,ashtray,4.833333333333333
649,small,ashtray,3.0
650,small,ashtray,2.6666666666666665
651,small,ashtray,6.142857142857143
652,small,ashtray,2.6666666666666665
653,small,ashtray,2.6666666666666665
654,small,ashtray,2.6666666666666665
655,small,ashtray,2.6666666666666665
656,small,ashtray,2.5
657,small,ashtray,2.6666666666666665
658,small,ashtray,5.2
659,small,ashtray,5.0
660,small,ashtray,5.0
661,small,ashtray,6.4
662,small,ashtray,2.6666666666666665
663,small,ashtray,5.8
664,small,ashtray,2.6666666666666665
665,small,ashtray,3.0
666,small,ashtray,2.3333333333333335
667,small,ashtray,4.571428571428571
668,small,ashtray,3.6
669,small,ashtray,4.857142857142857
670,small,ashtray,2.6666666666666665
671,small,ashtray,4.25
672,small,ashtray,7.142857142857143
673,small,ashtray,2.6666666666666665
674,small,ashtray,5.0
675,small,ashtray,2.6666666666666665
676,small,ashtray,3.0
677,small,ashtray,7.714285714285714
678,small,ashtray,3.0
679,small,ashtray,3.0
680,small,ashtray,4.8
681,small,ashtray,6.6
682,small,ashtray,3.5
683,small,ashtray,3.0
684,small,ashtray,3.0
685,small,ashtray,10.333333333333334
686,small,ashtray,5.166666666666667
687,small,ashtray,6.8
688,small,ashtray,5.2
689,small,ashtray,5.125
690,small,ashtray,2.3333333333333335
691,small,ashtray,2.6666666666666665
692,small,ashtray,3.0
693,small,ashtray,4.285714285714286
694,small,ashtray,2.6666666666666665
695,small,ashtray,2.6666666666666665
696,small,ashtray,4.857142857142857
697,small,ashtray,3.5
698,small,ashtray,2.6666666666666665
699,small,ashtray,2.3333333333333335
700,small,ashtray,10.333333333333334
701,small,ashtray,4.285714285714286
702,small,ashtray,3.8
703,small,ashtray,6.4
704,small,ashtray,6.6
705,small,ashtray,4.833333333333333
706,small,ashtray,9.285714285714286
707,small,ashtray,10.2
708,small,ashtray,2.6666666666666665
709,small,ashtray,2.5
710,small,ashtray,4.833333333333333
711,small,ashtray,2.3333333333333335
712,small,ashtray,6.6
713,small,ashtray,5.4
714,small,ashtray,2.0
715,small,ashtray,6.285714285714286
716,small,ashtray,2.6666666666666665
717,small,ashtray,4.6
718,small,ashtray,5.0
719,small,ashtray,3.0
720,small,ashtray,3.6
721,small,ashtray,3.0
722,small,ashtray,2.6666666666666665
723,small,ashtray,2.0
724,small,ashtray,4.8
725,small,ashtray,3.0
726,small,ashtray,6.166666666666667
727,small,ashtray,2.5
728,small,ashtray,6.571428571428571
729,small,ashtray,3.6666666666666665
730,small,ashtray,2.3333333333333335
731,small,ashtray,2.3333333333333335
732,small,ashtray,6.8
733,small,ashtray,5.142857142857143
734,small,ashtray,6.6
735,small,ashtray,6.0
736,small,ashtray,2.6666666666666665
737,small,ashtray,4.0
738,small,ashtray,5.0
739,small,ashtray,6.666666666666667
740,small,ashtray,3.2
741,small,ashtray,5.8
742,small,ashtray,5.0
743,small,ashtray,5.0
744,small,ashtray,6.6
745,small,ashtray,2.3333333333333335
746,small,ashtray,5.7
747,small,ashtray,3.0
748,small,ashtray,6.5
749,small,ashtray,3.0
750,small,ashtray,4.285714285714286
751,small,ashtray,4.2
752,small,ashtray,4.5
753,small,ashtray,4.571428571428571
754,small,ashtray,4.4
755,small,ashtray,6.0
756,small,ashtray,2.6666666666666665
757,small,ashtray,6.6
758,small,ashtray,3.0
759,small,ashtray,7.571428571428571
760,small,ashtray,2.6666666666666665
761,small,ashtray,2.0
762,small,ashtray,2.6666666666666665
763,small,ashtray,4.833333333333333
764,small,ashtray,3.0
765,small,ashtray,4.6
766,small,ashtray,2.0
767,small,ashtray,4.714285714285714
768,small,ashtray,2.6666666666666665
769,small,ashtray,4.571428571428571
770,small,ashtray,7.0
771,small,ashtray,3.0
772,small,ashtray,5.0
773,small,ashtray,2.6666666666666665
774,small,ashtray,4.8
775,small,ashtray,2.6666666666666665
776,small,ashtray,2.6666666666666665
777,small,ashtray,3.0
778,small,ashtray,10.333333333333334
779,small,ashtray,3.0
780,small,ashtray,5.0
781,small,ashtray,3.0
782,small,ashtray,4.4
783,small,ashtray,5.0
784,small,ashtray,6.0
785,small,ashtray,5.0
786,small,ashtray,5.142857142857143
787,small,ashtray,6.4
788,small,ashtray,3.6666666666666665
789,small,ashtray,2.6666666666666665
790,small,ashtray,3.0
791,small,ashtray,4.8
792,small,ashtray,4.714285714285714
793,small,ashtray,6.2
794,small,ashtray,2.6666666666666665
795,small,ashtray,3.0
796,small,ashtray,5.8
797,small,ashtray,3.25
798,small,ashtray,5.0
799,small,ashtray,3.0
800,small,ashtray,3.0
801,small,ashtray,6.444444444444445
802,small,ashtray,2.5
803,small,ashtray,5.571428571428571
804,small,ashtray,8.0
805,small,ashtray,2.6666666666666665
806,small,ashtray,4.0
807,small,ashtray,3.0
808,small,ashtray,6.6
809,small,ashtray,2.6666666666666665
810,small,ashtray,2.6666666666666665
811,small,ashtray,4.857142857142857
812,small,ashtray,3.0
813,small,ashtray,3.5
814,small,ashtray,2.3333333333333335
815,small,ashtray,5.142857142857143
816,small,ashtray,2.6666666666666665
817,small,ashtray,2.6666666666666665
818,small,ashtray,7.0
819,small,ashtray,3.0
820,small,ashtray,6.444444444444445
821,small,ashtray,5.833333333333333
822,small,ashtray,2.3333333333333335
823,small,ashtray,7.0
824,small,ashtray,7.142857142857143
825,small,ashtray,3.8
826,small,ashtray,2.5
827,small,ashtray,3.0
828,small,ashtray,2.6666666666666665
829,small,ashtray,7.142857142857143
830,small,ashtray,3.3333333333333335
831,small,ashtray,11.833333333333334
832,small,ashtray,5.0
833,small,ashtray,3.4
834,small,ashtray,4.8
835,small,ashtray,2.6666666666666665
836,small,ashtray,5.714285714285714
837,small,ashtray,3.0
838,small,ashtray,2.3333333333333335
839,small,ashtray,5.0
840,small,ashtray,5.0
841,small,ashtray,5.0
842,small,ashtray,5.0
843,small,ashtray,6.8
844,small,ashtray,2.6666666666666665
845,small,ashtray,7.0
846,small,ashtray,2.6666666666666665
847,small,ashtray,4.0
848,small,ashtray,3.8
849,small,ashtray,4.571428571428571
850,small,ashtray,2.0
851,small,ashtray,3.0
852,small,ashtray,6.666666666666667
853,small,ashtray,2.6666666666666665
854,small,ashtray,2.75
855,small,ashtray,3.0
856,small,ashtray,3.5
857,small,ashtray,3.5
858,small,ashtray,6.142857142857143
859,small,ashtray,3.0
860,small,ashtray,4.6
861,small,ashtray,4.571428571428571
862,small,ashtray,6.428571428571429
863,small,ashtray,3.3333333333333335
864,small,ashtray,7.2
865,small,ashtray,2.3333333333333335
866,small,ashtray,2.6666666666666665
867,small,ashtray,5.714285714285714
868,small,ashtray,4.5
869,small,ashtray,3.5
870,small,ashtray,2.0
871,small,ashtray,2.5
872,small,ashtray,6.4
873,small,ashtray,2.3333333333333335
874,small,ashtray,3.6
875,small,ashtray,3.0
876,small,ashtray,7.0
877,small,ashtray,4.6
878,small,ashtray,4.333333333333333
879,small,ashtray,7.833333333333333
880,small,ashtray,6.571428571428571
881,small,ashtray,5.6
882,small,ashtray,6.666666666666667
883,small,ashtray,6.714285714285714
884,small,ashtray,8.142857142857142
885,small,ashtray,4.8
886,small,ashtray,3.2
887,small,ashtray,6.8
888,small,ashtray,2.5
889,small,ashtray,2.3333333333333335
890,small,ashtray,2.3333333333333335
891,small,ashtray,3.5
892,small,ashtray,6.857142857142857
893,small,ashtray,6.285714285714286
894,small,ashtray,5.166666666666667
895,small,ashtray,7.2
896,small,ashtray,3.3333333333333335
897,small,ashtray,7.0
898,small,ashtray,7.0
899,small,ashtray,4.8
900,small,ashtray,5.0
901,small,ashtray,4.5
902,small,ashtray,6.857142857142857
903,small,ashtray,2.3333333333333335
904,small,ashtray,6.777777777777778
905,small,ashtray,3.0
906,small,ashtray,2.6666666666666665
907,small,ashtray,3.6
908,small,ashtray,3.6
909,small,ashtray,1.0
910,small,ashtray,3.3333333333333335
911,small,ashtray,3.0
912,small,ashtray,3.0
913,small,ashtray,2.6666666666666665
914,small,ashtray,2.6666666666666665
915,small,ashtray,5.4
916,small,ashtray,5.2
917,small,ashtray,3.0
918,small,ashtray,2.0
919,small,ashtray,2.3333333333333335
920,small,ashtray,3.5
