block,RT,image,position,response,order,environment,condition,location,binary,label
20,69,firealarm13,13,-1,4,firealarm,a,indoor,0,firealarm
21,2,candle22,4,-1,4,candle,a,indoor,0,candle
22,439,candle24,2,-1,4,candle,a,indoor,0,candle
23,9,candle02,24,-1,4,candle,a,indoor,0,candle
24,232,candle20,6,-1,4,candle,a,indoor,0,candle
25,856,candle18,8,-1,4,candle,a,indoor,0,candle
26,727,vase09,17,-1,4,vase,a,indoor,0,vase
27,113,vase15,11,-1,4,vase,a,indoor,0,vase
28,689,vase12,14,1,4,vase,a,indoor,1,vase
29,444,vase16,10,-1,4,vase,a,indoor,0,vase
30,345,vase01,25,-1,4,vase,a,indoor,0,vase
31,793,kettle04,22,-1,4,kettle,a,indoor,0,kettle
32,387,kettle13,13,-1,4,kettle,a,indoor,0,kettle
33,368,kettle05,21,-1,4,kettle,a,indoor,0,kettle
34,664,kettle25,1,-1,4,kettle,a,indoor,0,kettle
35,752,kettle22,4,-1,4,kettle,a,indoor,0,kettle
36,319,dvdplayer01,25,-1,4,dvdplayer,a,indoor,0,dvdplayer
37,466,dvdplayer03,23,-1,4,dvdplayer,a,indoor,0,dvdplayer
38,802,dvdplayer14,12,-1,4,dvdplayer,a,indoor,0,dvdplayer
39,195,dvdplayer17,9,-1,4,dvdplayer,a,indoor,0,dvdplayer
40,237,dvdplayer19,7,-1,4,dvdplayer,a,indoor,0,dvdplayer
41,313,mouse11,15,-1,4,mouse,a,indoor,0,mouse
42,602,mouse05,21,-1,4,mouse,a,indoor,0,mouse
43,82,mouse18,8,-1,4,mouse,a,indoor,0,mouse
44,1236,mouse15,11,-1,4,mouse,a,indoor,0,mouse
45,316,mouse13,13,-1,4,mouse,a,indoor,0,mouse
46,558,pottedplant23,3,1,4,pottedplant,a,indoor,1,pottedplant
47,162,pottedplant03,23,-1,4,pottedplant,a,indoor,0,pottedplant
48,63,pottedplant10,16,-1,4,pottedplant,a,indoor,0,pottedplant
49,713,pottedplant25,1,1,4,pottedplant,a,indoor,1,pottedplant
50,451,pottedplant09,17,-1,4,pottedplant,a,indoor,0,pottedplant
51,66,pitchfork15,11,-1,4,pitchfork,a,outdoor,0,pitchfork
52,164,pitchfork05,21,-1,4,pitchfork,a,outdoor,0,pitchfork
53,73,pitchfork17,9,-1,4,pitchfork,a,outdoor,0,pitchfork
54,92,pitchfork14,12,1,4,pitchfork,a,outdoor,1,pitchfork
55,131,pitchfork01,25,-1,4,pitchfork,a,outdoor,0,pitchfork
56,154,bird06,20,-1,4,bird,a,outdoor,0,bird
57,28,bird24,2,-1,4,bird,a,outdoor,0,bird
58,40,bird02,24,-1,4,bird,a,outdoor,0,bird
59,138,bird17,9,-1,4,bird,a,outdoor,0,bird
60,155,bird04,22,-1,4,bird,a,outdoor,0,bird
61,11,mailbox03,23,-1,4,mailbox,a,outdoor,0,mailbox
62,150,mailbox10,16,-1,4,mailbox,a,outdoor,0,mailbox
63,114,mailbox20,6,-1,4,mailbox,a,outdoor,0,mailbox
64,453,mailbox09,17,1,4,mailbox,a,outdoor,1,mailbox
65,297,mailbox07,19,1,4,mailbox,a,outdoor,1,mailbox
66,27,frog13,13,-1,4,frog,a,outdoor,0,frog
67,158,frog12,14,-1,4,frog,a,outdoor,0,frog
68,153,frog11,15,-1,4,frog,a,outdoor,0,frog
69,68,frog21,5,-1,4,frog,a,outdoor,0,frog
70,94,frog10,16,-1,4,frog,a,outdoor,0,frog
71,171,cactus18,8,-1,4,cactus,a,outdoor,0,cactus
72,137,cactus15,11,-1,4,cactus,a,outdoor,0,cactus
73,159,cactus25,1,1,4,cactus,a,outdoor,1,cactus
74,43,cactus05,21,-1,4,cactus,a,outdoor,0,cactus
75,62,cactus20,6,-1,4,cactus,a,outdoor,0,cactus
76,163,bottle23,3,-1,4,bottle,a,outdoor,0,bottle
77,71,bottle09,17,-1,4,bottle,a,outdoor,0,bottle
78,94,bottle08,18,-1,4,bottle,a,outdoor,0,bottle
79,76,bottle10,16,-1,4,bottle,a,outdoor,0,bottle
80,47,bottle07,19,-1,4,bottle,a,outdoor,0,bottle
81,45,ashtray15,11,-1,4,ashtray,a,outdoor,0,ashtray
