image,environment,condition,label,block,RT,position,response,order,binary,preferred,distance_from_optimal,pixels,log_pixels,group,scene
mailbox23,mailbox,b,house,63.0,542.3555555555556,3.0,0.3333333333333333,2.0,0.6666666666666666,23.07,-20.07,134967.0,11.812785583094708,big,mailbox
mailbox23,mailbox,c,mailbox,63.0,549.2954545454545,3.0,0.3181818181818182,3.0,0.6590909090909091,6.36,-3.36,0.0,-inf,none,mailbox
mailbox24,mailbox,a,mailbox,65.0,682.0,2.0,0.5111111111111111,5.0,0.7555555555555555,6.359999999999999,-4.36,11070.0,9.311994025702683,small,mailbox
mailbox24,mailbox,b,house,65.0,674.1136363636364,2.0,0.45454545454545453,5.0,0.7272727272727273,23.07,-21.07,139924.0,11.848854697048298,big,mailbox
mailbox24,mailbox,c,mailbox,64.0,507.45454545454544,2.0,0.2727272727272727,3.0,0.6363636363636364,6.36,-4.36,0.0,-inf,none,mailbox
mailbox25,mailbox,a,mailbox,61.0,602.0227272727273,1.0,0.36363636363636365,2.0,0.6818181818181818,6.36,-5.36,11929.0,9.386727689281946,small,mailbox
mailbox25,mailbox,b,house,61.0,824.6363636363636,1.0,0.5909090909090909,2.0,0.7954545454545454,23.07,-22.07,144286.0,11.879552719958188,big,mailbox
mailbox25,mailbox,c,mailbox,64.0,499.9555555555556,1.0,0.2,1.0,0.6,6.359999999999999,-5.36,0.0,-inf,none,mailbox
microwave01,microwave,a,microwave,6.0,760.4666666666667,25.0,-0.37777777777777777,2.0,0.3111111111111111,10.96,14.04,4700.0,8.45531778769815,big,microwave
microwave01,microwave,b,orange,6.0,817.9111111111112,25.0,-0.4666666666666667,2.0,0.26666666666666666,2.16,22.84,288.0,5.662960480135946,small,microwave
microwave01,microwave,c,microwave,8.0,675.8,25.0,0.022222222222222223,1.0,0.5111111111111111,10.96,14.04,0.0,-inf,none,microwave
microwave02,microwave,a,microwave,9.0,621.7555555555556,24.0,-0.2,1.0,0.4,10.96,13.04,5247.0,8.565411763686711,big,microwave
microwave02,microwave,b,orange,9.0,905.3555555555556,24.0,-0.15555555555555556,1.0,0.4222222222222222,2.16,21.84,292.0,5.676753802268282,small,microwave
microwave02,microwave,c,microwave,8.0,631.3414634146342,24.0,0.024390243902439025,2.0,0.5121951219512195,10.96,13.04,0.0,-inf,none,microwave
microwave03,microwave,a,microwave,10.0,687.7045454545455,23.0,-0.22727272727272727,5.0,0.38636363636363635,10.96,12.04,5610.0,8.632305998516742,big,microwave
microwave03,microwave,b,orange,10.0,924.9767441860465,23.0,-0.5813953488372093,5.0,0.20930232558139536,2.16,20.84,286.0,5.655991810819852,small,microwave
microwave03,microwave,c,microwave,10.0,455.75555555555553,23.0,-0.022222222222222223,4.0,0.4888888888888889,10.96,12.04,0.0,-inf,none,microwave
microwave04,microwave,a,microwave,8.0,686.7777777777778,22.0,-0.15555555555555556,4.0,0.4222222222222222,10.96,11.04,5928.0,8.687442166975924,big,microwave
microwave04,microwave,b,orange,8.0,883.9777777777778,22.0,-0.2,4.0,0.4,2.16,19.84,312.0,5.7430031878094825,small,microwave
microwave04,microwave,c,microwave,9.0,506.22222222222223,22.0,-0.28888888888888886,3.0,0.35555555555555557,10.96,11.04,0.0,-inf,none,microwave
microwave05,microwave,a,microwave,10.0,711.8409090909091,21.0,0.0,4.0,0.5,10.96,10.04,6441.0,8.77043908654689,big,microwave
microwave05,microwave,b,orange,10.0,707.8636363636364,21.0,0.0,4.0,0.5,2.16,18.84,278.0,5.627621113690637,small,microwave
microwave05,microwave,c,microwave,7.0,474.9767441860465,21.0,-0.06976744186046512,3.0,0.46511627906976744,10.96,10.04,0.0,-inf,none,microwave
microwave06,microwave,a,microwave,10.0,577.9333333333333,20.0,-0.28888888888888886,3.0,0.35555555555555557,10.96,9.04,6726.0,8.813735892300215,big,microwave
microwave06,microwave,b,orange,10.0,874.0909090909091,20.0,-0.45454545454545453,3.0,0.2727272727272727,2.16,17.84,324.0,5.780743515792329,small,microwave
microwave06,microwave,c,microwave,6.0,500.0,20.0,-0.2727272727272727,4.0,0.36363636363636365,10.96,9.04,0.0,-inf,none,microwave
microwave07,microwave,a,microwave,9.0,601.3181818181819,19.0,-0.09090909090909091,2.0,0.45454545454545453,10.96,8.04,7371.0,8.905308661189288,big,microwave
microwave07,microwave,b,orange,9.0,855.4666666666667,19.0,-0.28888888888888886,2.0,0.35555555555555557,2.16,16.84,360.0,5.886104031450156,small,microwave
microwave07,microwave,c,microwave,6.0,616.9111111111112,19.0,-0.1111111111111111,1.0,0.4444444444444444,10.96,8.04,0.0,-inf,none,microwave
microwave08,microwave,a,microwave,10.0,579.3555555555556,18.0,-0.3333333333333333,1.0,0.3333333333333333,10.96,7.039999999999999,7820.0,8.964439833539357,big,microwave
microwave08,microwave,b,orange,10.0,869.0222222222222,18.0,-0.2,1.0,0.4,2.16,15.84,409.0,6.013715156042802,small,microwave
microwave08,microwave,c,microwave,10.0,549.0238095238095,18.0,-0.2857142857142857,5.0,0.35714285714285715,10.96,7.039999999999999,0.0,-inf,none,microwave
microwave09,microwave,a,microwave,8.0,671.8,17.0,-0.15555555555555556,5.0,0.4222222222222222,10.96,6.039999999999999,8241.0,9.016876974763383,big,microwave
microwave09,microwave,b,orange,8.0,1139.8181818181818,17.0,-0.09090909090909091,5.0,0.45454545454545453,2.16,14.840000000000002,396.0,5.981414211254481,small,microwave
microwave09,microwave,c,microwave,9.0,526.1428571428571,17.0,0.09523809523809523,4.0,0.5476190476190477,10.96,6.039999999999999,0.0,-inf,none,microwave
microwave10,microwave,a,microwave,6.0,620.7777777777778,16.0,-0.06666666666666667,1.0,0.4666666666666667,10.96,5.039999999999999,8724.0,9.07383312732152,big,microwave
microwave10,microwave,b,orange,6.0,813.7111111111111,16.0,-0.06666666666666667,1.0,0.4666666666666667,2.16,13.84,417.0,6.0330862217988015,small,microwave
microwave10,microwave,c,microwave,10.0,720.9555555555555,16.0,-0.28888888888888886,1.0,0.35555555555555557,10.96,5.039999999999999,0.0,-inf,none,microwave
microwave11,microwave,a,microwave,10.0,659.1111111111111,15.0,0.15555555555555556,2.0,0.5777777777777777,10.96,4.039999999999999,9987.0,9.209039526243135,big,microwave
microwave11,microwave,b,orange,10.0,776.8863636363636,15.0,-0.13636363636363635,2.0,0.4318181818181818,2.16,12.840000000000002,439.0,6.0844994130751715,small,microwave
microwave11,microwave,c,microwave,6.0,688.3409090909091,15.0,0.0,5.0,0.5,10.96,4.039999999999999,0.0,-inf,none,microwave
microwave12,microwave,a,microwave,6.0,674.7272727272727,14.0,0.09090909090909091,5.0,0.5454545454545454,10.96,3.039999999999999,10549.0,9.263786347681808,big,microwave
microwave12,microwave,b,orange,6.0,734.7777777777778,14.0,0.24444444444444444,5.0,0.6222222222222222,2.16,11.84,509.0,6.2324480165505225,small,microwave
microwave12,microwave,c,microwave,9.0,574.0232558139535,14.0,-0.11627906976744186,5.0,0.4418604651162791,10.96,3.039999999999999,0.0,-inf,none,microwave
microwave13,microwave,a,microwave,7.0,623.0222222222222,13.0,-0.06666666666666667,3.0,0.4666666666666667,10.96,2.039999999999999,11893.0,9.383705270727246,big,microwave
microwave13,microwave,b,orange,7.0,580.4545454545455,13.0,-0.22727272727272727,3.0,0.38636363636363635,2.16,10.84,553.0,6.315358001522335,small,microwave
microwave13,microwave,c,microwave,10.0,575.0888888888888,13.0,-0.06666666666666667,3.0,0.4666666666666667,10.96,2.039999999999999,0.0,-inf,none,microwave
microwave14,microwave,a,microwave,9.0,583.7727272727273,12.0,0.18181818181818182,3.0,0.5909090909090909,10.96,1.0399999999999991,13028.0,9.474856166396124,big,microwave
microwave14,microwave,b,orange,9.0,783.1111111111111,12.0,-0.2,3.0,0.4,2.16,9.84,529.0,6.270988431858299,small,microwave
microwave14,microwave,c,microwave,8.0,502.20454545454544,12.0,0.18181818181818182,5.0,0.5909090909090909,10.96,1.0399999999999991,0.0,-inf,none,microwave
microwave15,microwave,a,microwave,7.0,631.4222222222222,11.0,0.37777777777777777,5.0,0.6888888888888889,10.96,0.03999999999999915,14584.0,9.5876803163585,big,microwave
microwave15,microwave,b,orange,7.0,797.1555555555556,11.0,-0.1111111111111111,5.0,0.4444444444444444,2.16,8.84,660.0,6.492239835020471,small,microwave
microwave15,microwave,c,microwave,7.0,574.8333333333334,11.0,0.19047619047619047,5.0,0.5952380952380952,10.96,0.03999999999999915,0.0,-inf,none,microwave
microwave16,microwave,a,microwave,7.0,556.9024390243902,10.0,0.17073170731707318,2.0,0.5853658536585366,10.96,-0.9600000000000009,16273.0,9.697262571660614,big,microwave
microwave16,microwave,b,orange,7.0,747.2954545454545,10.0,-0.09090909090909091,2.0,0.45454545454545453,2.16,7.84,705.0,6.558197802812269,small,microwave
